symptoms_description,disease
"I feel itchy rash, loss of appetite, and sometimes even red spots.",Chicken Pox
"Since yesterday, I have noticed red spots, loss of appetite, and itchy rash.",Chicken Pox
There is red spots and it feels like loss of appetite.,Chicken Pox
"Since yesterday, I have noticed fever, red spots, and fatigue.",Chicken Pox
I have fatigue and also fever.,Chicken Pox
I have loss of appetite and also fatigue.,Chicken Pox
I have red spots and also fever.,Chicken Pox
"I feel loss of appetite, fatigue, and sometimes even red spots.",Chicken Pox
There is fever and it feels like fatigue.,Chicken Pox
My fatigue and red spots are bothering me a lot.,Chicken Pox
"Since yesterday, I have noticed fatigue, red spots, and fever.",Chicken Pox
"Lately, loss of appetite has started along with red spots and fever.",Chicken Pox
I have been experiencing red spots and loss of appetite recently.,Chicken Pox
"Lately, fatigue has started along with loss of appetite and itchy rash.",Chicken Pox
My loss of appetite and fatigue are bothering me a lot.,Chicken Pox
My fatigue and itchy rash are bothering me a lot.,Chicken Pox
"Since yesterday, I have noticed itchy rash, loss of appetite, and red spots.",Chicken Pox
"Since yesterday, I have noticed red spots, fever, and itchy rash.",Chicken Pox
"Lately, red spots has started along with loss of appetite and fatigue.",Chicken Pox
There is fatigue and it feels like fever.,Chicken Pox
"Lately, fatigue has started along with loss of appetite and red spots.",Chicken Pox
I have been experiencing red spots and fever recently.,Chicken Pox
I have been experiencing itchy rash and fatigue recently.,Chicken Pox
I have been experiencing loss of appetite and fatigue recently.,Chicken Pox
I have been experiencing red spots and fatigue recently.,Chicken Pox
There is red spots and it feels like fatigue.,Chicken Pox
My itchy rash and fatigue are bothering me a lot.,Chicken Pox
"Lately, loss of appetite has started along with fever and itchy rash.",Chicken Pox
I have fever and also loss of appetite.,Chicken Pox
"Lately, fever has started along with red spots and itchy rash.",Chicken Pox
I have been experiencing loss of appetite and red spots recently.,Chicken Pox
"Since yesterday, I have noticed loss of appetite, red spots, and fatigue.",Chicken Pox
My red spots and fatigue are bothering me a lot.,Chicken Pox
There is fever and it feels like itchy rash.,Chicken Pox
I have red spots and also fever.,Chicken Pox
"Since yesterday, I have noticed itchy rash, loss of appetite, and red spots.",Chicken Pox
I have fatigue and also itchy rash.,Chicken Pox
My loss of appetite and fever are bothering me a lot.,Chicken Pox
My fatigue and fever are bothering me a lot.,Chicken Pox
I have red spots and also itchy rash.,Chicken Pox
I have been experiencing loss of appetite and red spots recently.,Chicken Pox
I have been experiencing red spots and fever recently.,Chicken Pox
"Lately, fever has started along with loss of appetite and itchy rash.",Chicken Pox
"I feel red spots, fever, and sometimes even itchy rash.",Chicken Pox
I have loss of appetite and also fever.,Chicken Pox
"Lately, fever has started along with loss of appetite and fatigue.",Chicken Pox
"I feel loss of appetite, fever, and sometimes even red spots.",Chicken Pox
I have been experiencing loss of appetite and fever recently.,Chicken Pox
My fatigue and fever are bothering me a lot.,Chicken Pox
"Lately, itchy rash has started along with fatigue and red spots.",Chicken Pox
There is fatigue and it feels like loss of appetite.,Chicken Pox
"I feel fever, itchy rash, and sometimes even fatigue.",Chicken Pox
"Since yesterday, I have noticed loss of appetite, fatigue, and fever.",Chicken Pox
I have been experiencing fever and red spots recently.,Chicken Pox
I have itchy rash and also loss of appetite.,Chicken Pox
I have been experiencing itchy rash and fever recently.,Chicken Pox
"I feel fever, itchy rash, and sometimes even red spots.",Chicken Pox
I have been experiencing itchy rash and red spots recently.,Chicken Pox
"I feel fever, itchy rash, and sometimes even loss of appetite.",Chicken Pox
I have been experiencing red spots and itchy rash recently.,Chicken Pox
"I feel loss of appetite, red spots, and sometimes even fever.",Chicken Pox
I have loss of appetite and also fever.,Chicken Pox
I have been experiencing red spots and fatigue recently.,Chicken Pox
I have red spots and also itchy rash.,Chicken Pox
I have been experiencing fatigue and loss of appetite recently.,Chicken Pox
There is red spots and it feels like itchy rash.,Chicken Pox
"Lately, red spots has started along with fatigue and loss of appetite.",Chicken Pox
My itchy rash and fever are bothering me a lot.,Chicken Pox
My loss of appetite and fever are bothering me a lot.,Chicken Pox
I have been experiencing loss of appetite and red spots recently.,Chicken Pox
"I feel loss of appetite, fever, and sometimes even fatigue.",Chicken Pox
There is itchy rash and it feels like loss of appetite.,Chicken Pox
"Lately, itchy rash has started along with fever and fatigue.",Chicken Pox
"Lately, loss of appetite has started along with itchy rash and fatigue.",Chicken Pox
"I feel loss of appetite, fatigue, and sometimes even fever.",Chicken Pox
I have red spots and also fever.,Chicken Pox
"Lately, fever has started along with red spots and itchy rash.",Chicken Pox
I have been experiencing fatigue and fever recently.,Chicken Pox
There is fatigue and it feels like fever.,Chicken Pox
"I feel fever, loss of appetite, and sometimes even red spots.",Chicken Pox
"Since yesterday, I have noticed fatigue, red spots, and itchy rash.",Chicken Pox
"Since yesterday, I have noticed fatigue, fever, and itchy rash.",Chicken Pox
My red spots and loss of appetite are bothering me a lot.,Chicken Pox
"Since yesterday, I have noticed loss of appetite, itchy rash, and fever.",Chicken Pox
I have itchy rash and also loss of appetite.,Chicken Pox
My red spots and loss of appetite are bothering me a lot.,Chicken Pox
I have been experiencing fatigue and loss of appetite recently.,Chicken Pox
"Since yesterday, I have noticed fatigue, itchy rash, and loss of appetite.",Chicken Pox
"Since yesterday, I have noticed fever, loss of appetite, and fatigue.",Chicken Pox
My red spots and loss of appetite are bothering me a lot.,Chicken Pox
There is red spots and it feels like fatigue.,Chicken Pox
My fever and fatigue are bothering me a lot.,Chicken Pox
My loss of appetite and fever are bothering me a lot.,Chicken Pox
"Since yesterday, I have noticed red spots, fever, and fatigue.",Chicken Pox
There is fever and it feels like itchy rash.,Chicken Pox
"Lately, loss of appetite has started along with red spots and fatigue.",Chicken Pox
My fever and itchy rash are bothering me a lot.,Chicken Pox
There is fatigue and it feels like fever.,Chicken Pox
My red spots and loss of appetite are bothering me a lot.,Chicken Pox
I have loss of appetite and also fatigue.,Chicken Pox
"Since yesterday, I have noticed loss of appetite, fatigue, and red spots.",Chicken Pox
"Since yesterday, I have noticed itchy rash, red spots, and loss of appetite.",Chicken Pox
"Since yesterday, I have noticed fatigue, red spots, and itchy rash.",Chicken Pox
"Since yesterday, I have noticed fever, fatigue, and loss of appetite.",Chicken Pox
There is loss of appetite and it feels like itchy rash.,Chicken Pox
"Lately, fatigue has started along with loss of appetite and fever.",Chicken Pox
I have itchy rash and also loss of appetite.,Chicken Pox
"Since yesterday, I have noticed fever, loss of appetite, and red spots.",Chicken Pox
"Since yesterday, I have noticed fatigue, red spots, and loss of appetite.",Chicken Pox
I have red spots and also fever.,Chicken Pox
I have been experiencing red spots and fatigue recently.,Chicken Pox
There is fever and it feels like itchy rash.,Chicken Pox
My loss of appetite and fever are bothering me a lot.,Chicken Pox
There is itchy rash and it feels like red spots.,Chicken Pox
I have fever and also itchy rash.,Chicken Pox
"Lately, itchy rash has started along with fever and fatigue.",Chicken Pox
There is loss of appetite and it feels like fever.,Chicken Pox
I have been experiencing red spots and itchy rash recently.,Chicken Pox
I have red spots and also itchy rash.,Chicken Pox
My red spots and fever are bothering me a lot.,Chicken Pox
There is itchy rash and it feels like red spots.,Chicken Pox
"Since yesterday, I have noticed red spots, fatigue, and itchy rash.",Chicken Pox
There is loss of appetite and it feels like fever.,Chicken Pox
My fever and itchy rash are bothering me a lot.,Chicken Pox
There is itchy rash and it feels like loss of appetite.,Chicken Pox
"I feel loss of appetite, fever, and sometimes even red spots.",Chicken Pox
My red spots and fever are bothering me a lot.,Chicken Pox
"Since yesterday, I have noticed red spots, loss of appetite, and fatigue.",Chicken Pox
I have been experiencing fever and red spots recently.,Chicken Pox
"I feel fever, fatigue, and sometimes even red spots.",Chicken Pox
There is headache and it feels like rash.,Typhoid
My rash and fever are bothering me a lot.,Typhoid
"Since yesterday, I have noticed fever, diarrhea, and headache.",Typhoid
I have been experiencing abdominal pain and diarrhea recently.,Typhoid
My headache and rash are bothering me a lot.,Typhoid
"Lately, abdominal pain has started along with diarrhea and fever.",Typhoid
I have fever and also headache.,Typhoid
I have been experiencing rash and diarrhea recently.,Typhoid
"Since yesterday, I have noticed rash, abdominal pain, and diarrhea.",Typhoid
"I feel rash, diarrhea, and sometimes even headache.",Typhoid
I have been experiencing rash and abdominal pain recently.,Typhoid
"Since yesterday, I have noticed fever, rash, and diarrhea.",Typhoid
I have fever and also diarrhea.,Typhoid
I have headache and also abdominal pain.,Typhoid
There is rash and it feels like headache.,Typhoid
My diarrhea and fever are bothering me a lot.,Typhoid
"I feel headache, abdominal pain, and sometimes even rash.",Typhoid
My rash and headache are bothering me a lot.,Typhoid
My abdominal pain and rash are bothering me a lot.,Typhoid
"I feel rash, fever, and sometimes even abdominal pain.",Typhoid
My headache and abdominal pain are bothering me a lot.,Typhoid
"Lately, abdominal pain has started along with rash and diarrhea.",Typhoid
"I feel abdominal pain, diarrhea, and sometimes even fever.",Typhoid
I have rash and also abdominal pain.,Typhoid
I have been experiencing rash and fever recently.,Typhoid
"Since yesterday, I have noticed headache, diarrhea, and fever.",Typhoid
"Since yesterday, I have noticed headache, fever, and rash.",Typhoid
"I feel fever, headache, and sometimes even diarrhea.",Typhoid
I have been experiencing fever and headache recently.,Typhoid
"I feel abdominal pain, headache, and sometimes even rash.",Typhoid
"Lately, headache has started along with fever and diarrhea.",Typhoid
I have been experiencing fever and diarrhea recently.,Typhoid
There is headache and it feels like diarrhea.,Typhoid
I have headache and also abdominal pain.,Typhoid
I have diarrhea and also headache.,Typhoid
My diarrhea and fever are bothering me a lot.,Typhoid
I have been experiencing rash and headache recently.,Typhoid
"Since yesterday, I have noticed rash, headache, and fever.",Typhoid
"I feel diarrhea, abdominal pain, and sometimes even headache.",Typhoid
"Lately, fever has started along with abdominal pain and rash.",Typhoid
There is rash and it feels like fever.,Typhoid
"I feel headache, abdominal pain, and sometimes even rash.",Typhoid
There is abdominal pain and it feels like fever.,Typhoid
"I feel diarrhea, rash, and sometimes even abdominal pain.",Typhoid
I have abdominal pain and also headache.,Typhoid
"I feel diarrhea, headache, and sometimes even abdominal pain.",Typhoid
There is diarrhea and it feels like fever.,Typhoid
I have been experiencing headache and abdominal pain recently.,Typhoid
"Since yesterday, I have noticed fever, abdominal pain, and headache.",Typhoid
"Lately, fever has started along with rash and diarrhea.",Typhoid
"Lately, diarrhea has started along with abdominal pain and fever.",Typhoid
"I feel fever, abdominal pain, and sometimes even diarrhea.",Typhoid
"Lately, headache has started along with rash and diarrhea.",Typhoid
There is diarrhea and it feels like fever.,Typhoid
My headache and rash are bothering me a lot.,Typhoid
My headache and abdominal pain are bothering me a lot.,Typhoid
I have been experiencing diarrhea and rash recently.,Typhoid
"Lately, rash has started along with abdominal pain and headache.",Typhoid
There is fever and it feels like diarrhea.,Typhoid
"Since yesterday, I have noticed abdominal pain, diarrhea, and headache.",Typhoid
There is diarrhea and it feels like headache.,Typhoid
There is rash and it feels like fever.,Typhoid
My diarrhea and fever are bothering me a lot.,Typhoid
"Lately, fever has started along with rash and abdominal pain.",Typhoid
"I feel abdominal pain, rash, and sometimes even diarrhea.",Typhoid
I have been experiencing fever and abdominal pain recently.,Typhoid
"I feel rash, abdominal pain, and sometimes even diarrhea.",Typhoid
I have been experiencing headache and rash recently.,Typhoid
"Lately, abdominal pain has started along with fever and diarrhea.",Typhoid
"Lately, abdominal pain has started along with fever and headache.",Typhoid
I have diarrhea and also fever.,Typhoid
I have rash and also headache.,Typhoid
I have been experiencing abdominal pain and headache recently.,Typhoid
My fever and abdominal pain are bothering me a lot.,Typhoid
There is diarrhea and it feels like headache.,Typhoid
I have been experiencing fever and diarrhea recently.,Typhoid
"Since yesterday, I have noticed abdominal pain, headache, and fever.",Typhoid
I have been experiencing abdominal pain and fever recently.,Typhoid
"Since yesterday, I have noticed rash, fever, and diarrhea.",Typhoid
There is diarrhea and it feels like fever.,Typhoid
There is rash and it feels like fever.,Typhoid
"I feel headache, diarrhea, and sometimes even fever.",Typhoid
"Since yesterday, I have noticed abdominal pain, fever, and headache.",Typhoid
"Lately, fever has started along with diarrhea and headache.",Typhoid
I have fever and also headache.,Typhoid
My headache and diarrhea are bothering me a lot.,Typhoid
"Lately, diarrhea has started along with headache and rash.",Typhoid
I have fever and also headache.,Typhoid
My abdominal pain and diarrhea are bothering me a lot.,Typhoid
"Since yesterday, I have noticed abdominal pain, headache, and diarrhea.",Typhoid
"I feel rash, abdominal pain, and sometimes even fever.",Typhoid
My rash and abdominal pain are bothering me a lot.,Typhoid
I have been experiencing fever and abdominal pain recently.,Typhoid
I have rash and also fever.,Typhoid
"Lately, rash has started along with abdominal pain and fever.",Typhoid
"I feel abdominal pain, fever, and sometimes even diarrhea.",Typhoid
My rash and abdominal pain are bothering me a lot.,Typhoid
I have been experiencing diarrhea and rash recently.,Typhoid
"I feel diarrhea, fever, and sometimes even headache.",Typhoid
I have rash and also diarrhea.,Typhoid
My rash and abdominal pain are bothering me a lot.,Typhoid
I have diarrhea and also fever.,Typhoid
I have diarrhea and also abdominal pain.,Typhoid
I have fever and also diarrhea.,Typhoid
"I feel rash, abdominal pain, and sometimes even fever.",Typhoid
"Since yesterday, I have noticed headache, rash, and fever.",Typhoid
My diarrhea and fever are bothering me a lot.,Typhoid
There is headache and it feels like abdominal pain.,Typhoid
I have diarrhea and also fever.,Typhoid
There is abdominal pain and it feels like headache.,Typhoid
I have been experiencing fever and abdominal pain recently.,Typhoid
"Lately, fever has started along with rash and abdominal pain.",Typhoid
I have been experiencing diarrhea and abdominal pain recently.,Typhoid
I have been experiencing abdominal pain and rash recently.,Typhoid
"I feel headache, fever, and sometimes even abdominal pain.",Typhoid
"I feel rash, fever, and sometimes even diarrhea.",Typhoid
"Since yesterday, I have noticed abdominal pain, headache, and rash.",Typhoid
"I feel diarrhea, abdominal pain, and sometimes even headache.",Typhoid
"I feel fever, rash, and sometimes even diarrhea.",Typhoid
I have been experiencing abdominal pain and fever recently.,Typhoid
I have been experiencing headache and fever recently.,Typhoid
There is diarrhea and it feels like abdominal pain.,Typhoid
I have been experiencing fever and diarrhea recently.,Typhoid
My abdominal pain and fever are bothering me a lot.,Typhoid
"I feel abdominal pain, headache, and sometimes even rash.",Typhoid
"Since yesterday, I have noticed rash, abdominal pain, and diarrhea.",Typhoid
"Since yesterday, I have noticed abdominal pain, fever, and diarrhea.",Typhoid
"Lately, abdominal pain has started along with headache and diarrhea.",Typhoid
"Since yesterday, I have noticed fever, diarrhea, and rash.",Typhoid
"Lately, diarrhea has started along with fever and headache.",Typhoid
My fever and headache are bothering me a lot.,Typhoid
There is headache and it feels like fever.,Typhoid
My rash and abdominal pain are bothering me a lot.,Typhoid
"I feel fever, rash, and sometimes even headache.",Typhoid
My diarrhea and rash are bothering me a lot.,Typhoid
"Lately, diarrhea has started along with abdominal pain and fever.",Typhoid
My diarrhea and headache are bothering me a lot.,Typhoid
My headache and abdominal pain are bothering me a lot.,Typhoid
I have been experiencing abdominal pain and rash recently.,Typhoid
"I feel fever, abdominal pain, and sometimes even rash.",Typhoid
My diarrhea and rash are bothering me a lot.,Typhoid
I have diarrhea and also rash.,Typhoid
"Lately, diarrhea has started along with abdominal pain and fever.",Typhoid
There is fever and it feels like headache.,Typhoid
My rash and fever are bothering me a lot.,Typhoid
"Lately, fever has started along with headache and abdominal pain.",Typhoid
I have been experiencing diarrhea and abdominal pain recently.,Typhoid
I have rash and also fever.,Typhoid
I have been experiencing headache and abdominal pain recently.,Typhoid
I have been experiencing fever and headache recently.,Typhoid
I have wheezing and also chest tightness.,Asthma
"Lately, chest tightness has started along with shortness of breath and coughing.",Asthma
My chest tightness and coughing are bothering me a lot.,Asthma
My chest tightness and shortness of breath are bothering me a lot.,Asthma
There is coughing and it feels like wheezing.,Asthma
I have shortness of breath and also chest tightness.,Asthma
"Since yesterday, I have noticed wheezing, shortness of breath, and coughing.",Asthma
There is wheezing and it feels like chest tightness.,Asthma
I have shortness of breath and also coughing.,Asthma
There is coughing and it feels like shortness of breath.,Asthma
I have wheezing and also shortness of breath.,Asthma
I have wheezing and also shortness of breath.,Asthma
There is shortness of breath and it feels like chest tightness.,Asthma
I have wheezing and also shortness of breath.,Asthma
I have coughing and also shortness of breath.,Asthma
"Lately, shortness of breath has started along with coughing and wheezing.",Asthma
My coughing and chest tightness are bothering me a lot.,Asthma
"I feel wheezing, shortness of breath, and sometimes even coughing.",Asthma
My shortness of breath and chest tightness are bothering me a lot.,Asthma
I have been experiencing coughing and chest tightness recently.,Asthma
I have coughing and also wheezing.,Asthma
I have been experiencing wheezing and coughing recently.,Asthma
"Since yesterday, I have noticed coughing, wheezing, and shortness of breath.",Asthma
"Since yesterday, I have noticed coughing, chest tightness, and shortness of breath.",Asthma
I have been experiencing coughing and chest tightness recently.,Asthma
"Since yesterday, I have noticed chest tightness, shortness of breath, and coughing.",Asthma
"I feel wheezing, chest tightness, and sometimes even coughing.",Asthma
I have been experiencing chest tightness and coughing recently.,Asthma
My chest tightness and coughing are bothering me a lot.,Asthma
"Lately, wheezing has started along with shortness of breath and chest tightness.",Asthma
"I feel wheezing, chest tightness, and sometimes even shortness of breath.",Asthma
There is coughing and it feels like wheezing.,Asthma
My chest tightness and wheezing are bothering me a lot.,Asthma
My wheezing and shortness of breath are bothering me a lot.,Asthma
"Since yesterday, I have noticed wheezing, shortness of breath, and coughing.",Asthma
"Since yesterday, I have noticed chest tightness, coughing, and shortness of breath.",Asthma
I have been experiencing wheezing and coughing recently.,Asthma
"Since yesterday, I have noticed wheezing, chest tightness, and coughing.",Asthma
"I feel coughing, shortness of breath, and sometimes even wheezing.",Asthma
There is shortness of breath and it feels like wheezing.,Asthma
"Lately, chest tightness has started along with shortness of breath and coughing.",Asthma
I have shortness of breath and also wheezing.,Asthma
"Lately, shortness of breath has started along with wheezing and chest tightness.",Asthma
There is chest tightness and it feels like shortness of breath.,Asthma
I have been experiencing wheezing and coughing recently.,Asthma
I have wheezing and also shortness of breath.,Asthma
"I feel shortness of breath, chest tightness, and sometimes even coughing.",Asthma
"I feel shortness of breath, chest tightness, and sometimes even coughing.",Asthma
My coughing and shortness of breath are bothering me a lot.,Asthma
"Lately, chest tightness has started along with shortness of breath and coughing.",Asthma
There is coughing and it feels like wheezing.,Asthma
My wheezing and coughing are bothering me a lot.,Asthma
I have been experiencing shortness of breath and chest tightness recently.,Asthma
I have been experiencing chest tightness and shortness of breath recently.,Asthma
There is chest tightness and it feels like coughing.,Asthma
"Lately, chest tightness has started along with coughing and wheezing.",Asthma
I have chest tightness and also shortness of breath.,Asthma
"Since yesterday, I have noticed shortness of breath, coughing, and chest tightness.",Asthma
"I feel coughing, shortness of breath, and sometimes even chest tightness.",Asthma
My wheezing and coughing are bothering me a lot.,Asthma
I have been experiencing chest tightness and shortness of breath recently.,Asthma
There is shortness of breath and it feels like wheezing.,Asthma
"I feel shortness of breath, coughing, and sometimes even wheezing.",Asthma
"Lately, coughing has started along with shortness of breath and wheezing.",Asthma
My wheezing and shortness of breath are bothering me a lot.,Asthma
My coughing and chest tightness are bothering me a lot.,Asthma
My shortness of breath and chest tightness are bothering me a lot.,Asthma
"I feel coughing, chest tightness, and sometimes even shortness of breath.",Asthma
"Lately, chest tightness has started along with wheezing and shortness of breath.",Asthma
"I feel coughing, chest tightness, and sometimes even wheezing.",Asthma
"I feel shortness of breath, coughing, and sometimes even chest tightness.",Asthma
I have been experiencing coughing and shortness of breath recently.,Asthma
I have been experiencing shortness of breath and wheezing recently.,Asthma
I have coughing and also chest tightness.,Asthma
"I feel chest tightness, coughing, and sometimes even shortness of breath.",Asthma
I have been experiencing wheezing and coughing recently.,Asthma
"Since yesterday, I have noticed chest tightness, shortness of breath, and wheezing.",Asthma
My chest tightness and wheezing are bothering me a lot.,Asthma
My chest tightness and wheezing are bothering me a lot.,Asthma
I have been experiencing wheezing and coughing recently.,Asthma
"I feel chest tightness, wheezing, and sometimes even shortness of breath.",Asthma
I have been experiencing shortness of breath and wheezing recently.,Asthma
"Lately, coughing has started along with shortness of breath and chest tightness.",Asthma
My shortness of breath and wheezing are bothering me a lot.,Asthma
"Since yesterday, I have noticed wheezing, chest tightness, and shortness of breath.",Asthma
There is coughing and it feels like wheezing.,Asthma
"Since yesterday, I have noticed coughing, wheezing, and shortness of breath.",Asthma
There is shortness of breath and it feels like chest tightness.,Asthma
My wheezing and chest tightness are bothering me a lot.,Asthma
"Since yesterday, I have noticed coughing, shortness of breath, and chest tightness.",Asthma
There is shortness of breath and it feels like wheezing.,Asthma
My chest tightness and shortness of breath are bothering me a lot.,Asthma
I have been experiencing coughing and shortness of breath recently.,Asthma
I have coughing and also wheezing.,Asthma
"Since yesterday, I have noticed shortness of breath, wheezing, and coughing.",Asthma
My chest tightness and shortness of breath are bothering me a lot.,Asthma
My chest tightness and coughing are bothering me a lot.,Asthma
There is coughing and it feels like wheezing.,Asthma
"Lately, chest tightness has started along with wheezing and coughing.",Asthma
"I feel wheezing, chest tightness, and sometimes even shortness of breath.",Asthma
"Since yesterday, I have noticed coughing, shortness of breath, and chest tightness.",Asthma
I have been experiencing coughing and shortness of breath recently.,Asthma
"I feel wheezing, coughing, and sometimes even chest tightness.",Asthma
My wheezing and chest tightness are bothering me a lot.,Asthma
I have wheezing and also coughing.,Asthma
"I feel coughing, shortness of breath, and sometimes even chest tightness.",Asthma
I have coughing and also chest tightness.,Asthma
I have wheezing and also coughing.,Asthma
I have chest tightness and also wheezing.,Asthma
I have been experiencing chest tightness and shortness of breath recently.,Asthma
"Since yesterday, I have noticed wheezing, coughing, and chest tightness.",Asthma
"I feel shortness of breath, chest tightness, and sometimes even wheezing.",Asthma
I have been experiencing shortness of breath and chest tightness recently.,Asthma
I have been experiencing chest tightness and shortness of breath recently.,Asthma
There is chest tightness and it feels like wheezing.,Asthma
"Since yesterday, I have noticed chest tightness, coughing, and shortness of breath.",Asthma
"Lately, coughing has started along with shortness of breath and wheezing.",Asthma
"I feel shortness of breath, coughing, and sometimes even chest tightness.",Asthma
I have wheezing and also shortness of breath.,Asthma
My wheezing and coughing are bothering me a lot.,Asthma
I have coughing and also wheezing.,Asthma
"Since yesterday, I have noticed wheezing, shortness of breath, and coughing.",Asthma
My shortness of breath and coughing are bothering me a lot.,Asthma
There is chest tightness and it feels like wheezing.,Asthma
"I feel coughing, chest tightness, and sometimes even wheezing.",Asthma
"Since yesterday, I have noticed shortness of breath, coughing, and chest tightness.",Asthma
"I feel shortness of breath, chest tightness, and sometimes even coughing.",Asthma
My wheezing and coughing are bothering me a lot.,Asthma
"Lately, coughing has started along with chest tightness and wheezing.",Asthma
"I feel wheezing, shortness of breath, and sometimes even chest tightness.",Asthma
"Lately, shortness of breath has started along with wheezing and chest tightness.",Asthma
"I feel shortness of breath, coughing, and sometimes even chest tightness.",Asthma
I have been experiencing chest tightness and shortness of breath recently.,Asthma
"I feel coughing, wheezing, and sometimes even shortness of breath.",Asthma
My coughing and shortness of breath are bothering me a lot.,Asthma
I have wheezing and also coughing.,Asthma
"Lately, coughing has started along with shortness of breath and wheezing.",Asthma
I have been experiencing wheezing and chest tightness recently.,Asthma
I have been experiencing coughing and shortness of breath recently.,Asthma
I have been experiencing coughing and shortness of breath recently.,Asthma
My coughing and wheezing are bothering me a lot.,Asthma
"Since yesterday, I have noticed shortness of breath, wheezing, and coughing.",Asthma
I have been experiencing shortness of breath and wheezing recently.,Asthma
"Lately, coughing has started along with chest tightness and shortness of breath.",Asthma
"Since yesterday, I have noticed coughing, chest tightness, and shortness of breath.",Asthma
"Since yesterday, I have noticed wheezing, shortness of breath, and coughing.",Asthma
There is wheezing and it feels like shortness of breath.,Asthma
"Lately, chest tightness has started along with shortness of breath and wheezing.",Asthma
"Lately, shortness of breath has started along with coughing and chest tightness.",Asthma
"I feel wheezing, chest tightness, and sometimes even coughing.",Asthma
"Lately, fever has started along with fatigue and loss of appetite.",Chicken Pox
I have fever and also fatigue.,Chicken Pox
There is chest pain and it feels like blurred vision.,Hypertension
"I feel chest pain, headache, and sometimes even blurred vision.",Hypertension
"Since yesterday, I have noticed dizziness, blurred vision, and headache.",Hypertension
My blurred vision and headache are bothering me a lot.,Hypertension
"I feel runny nose, sneezing, and sometimes even fever.",Common Cold
I have fever and also runny nose.,Common Cold
My cough and fever are bothering me a lot.,Common Cold
I have been experiencing runny nose and fever recently.,Common Cold
There is sore throat and it feels like fever.,Common Cold
There is fever and it feels like runny nose.,Common Cold
"Since yesterday, I have noticed cough, sneezing, and runny nose.",Common Cold
I have been experiencing sneezing and sore throat recently.,Common Cold
My runny nose and cough are bothering me a lot.,Common Cold
There is sore throat and it feels like sneezing.,Common Cold
There is sore throat and it feels like fever.,Common Cold
"Since yesterday, I have noticed sneezing, sore throat, and runny nose.",Common Cold
My sore throat and runny nose are bothering me a lot.,Common Cold
I have fever and also cough.,Common Cold
I have been experiencing sneezing and runny nose recently.,Common Cold
"Lately, sore throat has started along with sneezing and runny nose.",Common Cold
I have cough and also runny nose.,Common Cold
My sore throat and cough are bothering me a lot.,Common Cold
I have fever and also runny nose.,Common Cold
There is fever and it feels like headache.,Dengue
"I feel fever, skin rash, and sometimes even joint pain.",Dengue
There is fever and it feels like headache.,Dengue
"I feel joint pain, nausea, and sometimes even headache.",Dengue
My headache and nausea are bothering me a lot.,Dengue
"I feel nausea, headache, and sometimes even joint pain.",Dengue
I have been experiencing joint pain and fever recently.,Dengue
My nausea and skin rash are bothering me a lot.,Dengue
"I feel nausea, skin rash, and sometimes even fever.",Dengue
"Since yesterday, I have noticed skin rash, headache, and joint pain.",Dengue
I have been experiencing fever and headache recently.,Dengue
"I feel headache, joint pain, and sometimes even skin rash.",Dengue
There is headache and it feels like nausea.,Dengue
I have coughing and also shortness of breath.,Asthma
I have been experiencing wheezing and shortness of breath recently.,Asthma
I have been experiencing coughing and shortness of breath recently.,Asthma
I have been experiencing coughing and shortness of breath recently.,Asthma
"I feel chest tightness, coughing, and sometimes even wheezing.",Asthma
There is coughing and it feels like chest tightness.,Asthma
I have chest tightness and also shortness of breath.,Asthma
I have muscle pain and also nausea.,Malaria
"Lately, fever has started along with nausea and sweating.",Malaria
I have nausea and also muscle pain.,Malaria
I have chills and also nausea.,Malaria
"Lately, nausea has started along with fever and chills.",Malaria
"Lately, fever has started along with chills and nausea.",Malaria
"I feel chills, sweating, and sometimes even muscle pain.",Malaria
"Since yesterday, I have noticed fever, muscle pain, and nausea.",Malaria
My fever and nausea are bothering me a lot.,Malaria
"I feel red spots, loss of appetite, and sometimes even fatigue.",Chicken Pox
"Lately, fatigue has started along with fever and red spots.",Chicken Pox
"Lately, itchy rash has started along with fever and red spots.",Chicken Pox
"Since yesterday, I have noticed itchy rash, loss of appetite, and fever.",Chicken Pox
"Lately, itchy rash has started along with red spots and fatigue.",Chicken Pox
"Since yesterday, I have noticed fever, fatigue, and red spots.",Chicken Pox
"Since yesterday, I have noticed itchy rash, loss of appetite, and fever.",Chicken Pox
"Since yesterday, I have noticed loss of appetite, red spots, and fatigue.",Chicken Pox
My frequent urination and weight loss are bothering me a lot.,Diabetes
"Lately, fatigue has started along with weight loss and increased thirst.",Diabetes
"I feel fatigue, increased thirst, and sometimes even frequent urination.",Diabetes
There is frequent urination and it feels like weight loss.,Diabetes
"Since yesterday, I have noticed weight loss, frequent urination, and fatigue.",Diabetes
I have been experiencing weight loss and frequent urination recently.,Diabetes
My frequent urination and weight loss are bothering me a lot.,Diabetes
I have been experiencing frequent urination and weight loss recently.,Diabetes
"Since yesterday, I have noticed frequent urination, weight loss, and fatigue.",Diabetes
I have been experiencing weight loss and increased thirst recently.,Diabetes
"Lately, nausea has started along with fever and muscle pain.",Malaria
"Since yesterday, I have noticed nausea, muscle pain, and chills.",Malaria
"I feel sweating, fever, and sometimes even muscle pain.",Malaria
"Since yesterday, I have noticed nausea, sweating, and chills.",Malaria
